Vs(V),Vz(V),Iz(uA)
2.5,2.33,0
2.6,2.42,0
2.7,2.52,0
2.8,2.61,0.1
2.9,2.7,0.1
3,2.79,0.2
3.1,2.88,0.2
3.2,2.98,0.3
3.3,3.07,0.5
3.4,3.16,0.6
3.5,3.27,0.9
3.6,3.36,1.2
3.7,3.45,1.6
3.8,3.55,2.1
3.9,3.64,2.8
4,3.74,3.7
4.1,3.82,4.8
4.2,3.92,6.4
4.3,4.01,8.4
4.4,4.1,11.2
4.5,4.2,11.5
4.6,4.3,19.5
4.7,4.39,26.2
4.8,4.48,35.1
4.81,4.48,35.3
4.82,4.5,37.3
4.83,4.51,38.6
4.84,4.51,38.8
4.85,4.52,40.2
4.86,4.53,41.6
4.87,4.54,42.5
4.88,4.55,43.9
4.89,4.56,45.4
4.9,4.57,47
4.91,4.58,49
4.92,4.59,50.7
4.93,4.6,51.9
4.94,4.61,53.2
4.95,4.62,54.4
4.96,4.62,56
4.97,4.64,59.3
4.98,4.64,60
4.99,4.66,63.1
5,4.67,65.2
5.01,4.68,67.2
5.02,4.68,68.5
5.03,4.69,69.7
5.04,4.7,73
5.05,4.71,74.7
5.06,4.72,78.5
5.07,4.73,81.1
5.08,4.74,83.6
5.09,4.75,86.6
5.1,4.76,88.3
5.11,4.77,90.5
5.12,4.78,95.1
5.13,4.79,97.8
5.14,4.8,101
5.15,4.8,105.7
5.16,4.81,106.9
5.17,4.82,110.3
5.18,4.83,113
5.19,4.85,122
5.2,4.86,126.2
5.21,4.87,128.8
5.22,4.88,131.5
5.23,4.88,133.8
5.24,4.89,138.3
5.25,4.9,142.4
5.26,4.9,145.9
5.27,4.91,151.2
5.28,4.92,156.2
5.29,4.93,159.3
5.3,4.94,165.7
5.31,4.95,171.6
5.32,4.96,176.8
5.33,4.97,182.5
5.34,4.98,185.9
5.35,4.98,190.5
5.36,4.99,195.8